,osid_scrambled,site,tid_scrambled,neighbor1_scrambled,shelf,path,lim,crsin,crsout,member_list,neighbor1_final,neighbor1_lim,neighbor2_final,pathindex,date
1181,f29-01b8c-6d,386,2fe-e1ab1-fe,9e9-70b86-4a,6,73,LIM-6-2,ADJ-6-2-8,ADJ-6-2-5,CMD44-6-83;LIM-6-2-8;DSCM-6-91-1;LIM-6-2;OSC-6-1-1;WSSOPM-6-3;DSCM-6-91;CMD44-6-84,488-9e9-70b86-4a-1-76,LIM-1-2,-,1.0,2020/03/10
1182,f29-01b8c-6d,386,2fe-e1ab1-fe,2fe-e1ab1-fe,6,73,LIM-6-2,ADJ-6-2-8,ADJ-6-2-5,CMD44-6-83;LIM-6-2-8;DSCM-6-91-1;LIM-6-2;OSC-6-1-1;WSSOPM-6-3;DSCM-6-91;CMD44-6-84,386-2fe-e1ab1-fe-2-72,LIM-2-2,-,1.0,2020/03/10
1183,048-1463b-4e,396,542-fb2a0-39,86f-2b977-1b,2,221,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;CMD44-2-84,402-86f-2b977-1b-2-224,LIM-2-2,-,1.0,2020/03/10
1184,048-1463b-4e,396,542-fb2a0-39,542-fb2a0-39,2,221,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;CMD44-2-84,396-542-fb2a0-39-1-224,LIM-1-2,-,1.0,2020/03/10
1185,c0e-7c52c-eb,396,542-fb2a0-39,2fe-e1ab1-fe,1,224,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91,386-2fe-e1ab1-fe-1-221,LIM-1-2,-,2.0,2020/03/10
1186,c0e-7c52c-eb,396,542-fb2a0-39,542-fb2a0-39,1,224,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91,396-542-fb2a0-39-2-221,LIM-2-2,-,2.0,2020/03/10
1187,204-c7a02-a2,1549,1b6-059f6-9d,1ca-b6d8a-ac,1,4,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;DSCM-1-91-2;LIM-1-2-5;LIM-1-2;OSC-1-1-1;DSCM-1-91,304-1ca-b6d8a-ac-3-3,LIM-3-10,-,2.0,2020/03/10
1188,98a-bdb85-a1,1552,458-137a0-82,e46-30657-f9,1,4,LIM-1-7,ADJ-1-7-8,ADJ-1-7-5,CMD44-1-83;DSCM-1-91-2;LIM-1-7-5;LIM-1-7;OSC-1-6-1;DSCM-1-91,470-e46-30657-f9-9-3,LIM-9-14,-,2.0,2020/03/10
1189,3a7-17e1d-9b,1576,af7-0e94e-e5,7f5-53b1b-cc,1,2,LIM-1-3,ADJ-1-3-8,ADJ-1-3-5,CMD44-1-83;DSCM-1-91-2;LIM-1-3-5;LIM-1-3;DSCM-1-91,357-7f5-53b1b-cc-6-1,LIM-6-3,-,2.0,2020/03/10
1190,03a-93bea-9a,1599,de9-47c0b-1c,1fd-f9075-51,1,4,LIM-1-1,ADJ-1-1-8,ADJ-1-1-5,CMD44-1-83;DSCM-1-91-2;LIM-1-1-5;LIM-1-1;DSCM-1-91,358-1fd-f9075-51-4-3,LIM-4-6,-,2.0,2020/03/10
1191,0d3-6050b-58,39,d46-9b46c-67,5d6-d1e39-ac,2,2,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-4-1;WSS-2-3,40-5d6-d1e39-ac-1-1,LIM-1-2,-,2.0,2020/03/10
1192,0d3-6050b-58,39,d46-9b46c-67,d46-9b46c-67,2,2,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-4-1;WSS-2-3,39-d46-9b46c-67-1-1,LIM-1-2,-,2.0,2020/03/10
1193,9cc-c367a-71,39,d46-9b46c-67,936-5722e-f1,1,1,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-4-1;WSS-1-3;CMD44-1-14;CMDA-1-11,38-936-5722e-f1-1-1,LIM-1-1,-,1.0,2020/03/10
1194,9cc-c367a-71,39,d46-9b46c-67,d46-9b46c-67,1,1,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-4-1;WSS-1-3;CMD44-1-14;CMDA-1-11,39-d46-9b46c-67-2-2,LIM-2-2,-,1.0,2020/03/10
1195,aff-8226b-fa,523,3b5-53a75-01,80b-307d3-7f,1,86,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,LIM-1-2-8;DSCM-1-20-1;LIM-1-2;OSC-1-4-2;DSCM-1-20;DSCM-1-21,528-80b-307d3-7f-2-85,LIM-2-2,524-67f-50db3-75-1-88,3.0,2020/03/10
1196,5f5-0ce41-29,380,316-88214-94,735-db79c-a4,3,157,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;LIM-3-2-5;LIM-3-2;OSC-3-1-1;WSSOPM-3-3;CMD44-3-84,486-735-db79c-a4-3-160,LIM-3-2,-,1.0,2020/03/10
